Alternativas	ECI_2019	Classe	Score_Global_EF	PIB (Bilhões, PPP)	1/Desemprego	Imposto_de_Renda	1/Inflação	Cresc_PIB_perCapita	Receitas/Despesas	Despesas_Educ(%PIB)	Taxa_Alfabetização	Despesas_P&D (%PIB)	Import_Bens_Serviços(%PIB)	GINI	1/População_favelas
Albania	-0.440941	3	65.94	38.1112	0.073385878	23	0.601106035	2.089736608	1.027666216	3.699368	99.11753082		45.87666164	32.01428571	
Algeria	-1.027936	3	46.66	614.9052	0.086278299	35	0.24230676	-0.18620463		6.45411253	97.4265213	0.54297	31.29673132	27.6	
Angola	-1.48702	3	51.64	198.8652	0.136317784	18.6	0.040629596	-2.205131884	1.249947396	2.877716687	77.43112946	0.03229	30.71134661	51.3	0.019620667
Argentina	-0.243857	3	52.08	911.8488	0.108161897	35	0.023371039	-1.675335346	0.849941509	5.328702238	99.48858207	0.5806025	14.34810622	41.77777778	0.065075921
Armenia	-0.269703	3	68.84	32.063	0.055636538	24.6	1.066325443	3.206059921	1.004726419	2.660785079	99.8560791	0.23400625	47.25798843	30.91	0.090909091
Australia	-0.454162	3	80.9	1297.5678	0.174532254	45	0.644496004	0.8112734	0.932632446	5.145232618		2.0525475	21.18130957	34.13333333	
Austria	1.771502	1	72.96	460.39	0.186018825	52	0.611770464	0.0369415	0.97226865	5.450106263		3.024794444	50.49173054	30.51111111	
Azerbaijan	-1.191288	3	66.14	171.559	0.18489073	25	0.150947953	-0.220427601	1.688645347	2.560428911	99.94319439	0.20526375	33.29654061		
Bangladesh	-0.88344	3	55.26	773.3272	0.224557621	26	0.172675784	5.390873004	1.118949526	1.827243996	88.26026154		23.74625456	32.4	0.019775873
Belarus	0.830929	2	58.34	186.0042	0.30102348	13	0.147789075	1.075493078	1.039406913	4.931425953	99.87283325	0.5837725	65.16685845	25.87	0.025510204
Belgium	1.211482	1	68.68	554.5174	0.148960257	50	0.628298567	0.189241787	0.948086401	6.481181417		2.441615	79.88299228	27.61111111	
Bolivia	-0.83195	3	42.98	89.3546	0.260159217	13	0.433576136	1.811700508			99.13419088		34.3914895	45.25	0.021201413
Bosnia and Herzegovina	0.726767	2	62.44	47.1254	0.046550167	10	2.983293556	2.889200884	1.054479319		99.5623703	0.23911	54.71448299	33	0.131578949
Botswana	-0.791066	3	68.28	40.612	0.055820392	25	0.352360817	1.268948133	1.211930218	7.303408051	97.4562912	0.39804	51.40140496	53.3	
Brazil	0.102134	2	52.74	3299.273	0.079337374	27.5	0.21978022	-0.521494223	0.850340536	6.042991281	98.89040565	1.19923125	13.53022409	52.58	0.054644811
Bulgaria	0.528509	2	69.78	160.8342	0.169428349	10	0.808538163	2.13986189	0.99557373	3.805520117	97.86505127	0.72356375	61.53929697	38.38888889	
Burkina Faso	-0.932345	3	58.18	42.1092	0.187652468	27.5	2.779321845	2.314877742	1.107096346	4.529956222	54.48513985	0.40404	32.90362359	41.3	0.016538037
Cambodia	-0.497443	3	57.64	74.7938	0.849617672	23	0.404236397	4.477229079	1.295558729	1.838875961	91.17711258	0.11823	64.11808011		0.020283976
Cameroon	-1.527305	3	52.84	443.4244	0.200104054	34.6	0.711541198	1.304932091	1.272539409	2.858655559	85.08000183		23.74028783	46.6	0.027958994
Canada	0.692951	2	77.62	1452.8042	0.130606274	33.4	0.768639508	0.29296072	1.013705704	5.262050152		1.686618889	32.9517243	33.36666667	100.0000022
Chile	-0.206601	3	75.4	466.9744	0.126980902	37	0.367511944	0.977715979	1.006783103	4.910817078	99.20476723	0.369074286	30.18448106	45.1	0.111940298
